analysis_mode,language,feature,n_emergency,n_normal,mean_emergency,mean_normal,cohens_d,ci_low,ci_high
main,English,spectral_rolloff,1000,1000,1056.7596574936074,713.8376529077456,0.6955166603227269,0.6257758736610413,0.7813637256622314
main,English,zcr,1000,1000,0.10242598887060919,0.07680851515304857,0.6794361971480282,0.6076059341430664,0.7576751708984375
main,English,harmonic_ratio,1000,1000,0.37681945692179664,0.3991225381686978,-0.11487042469910975,-0.2025076150894165,-0.03677818551659584
main,English,pause_ratio,1000,1000,0.16653355719787577,0.07171335748423617,0.7273774598468615,0.6316390633583069,0.818420946598053
main,English,tempo_proxy,1000,1000,4.551986845996482,4.55367080710854,-0.0017146677519198842,-0.0931737944483757,0.08037557452917099
main,English,pitch_energy_corr,1000,1000,0.2535980896582601,0.21980883650181687,0.19007141656574533,0.10031112283468246,0.2725394070148468
sensitivity,English,alpha_ratio,1000,1000,0.2716464953561114,0.08916025469901796,0.49912136983294103,0.44759130477905273,0.5696444511413574
sensitivity,English,spectral_centroid,1000,1000,694.1343986719171,473.9904460294819,0.7192068512924557,0.6455689072608948,0.7956904172897339
sensitivity,English,spectral_bandwidth,1000,1000,639.3569975352752,531.0164389168013,0.5852056004941251,0.49688658118247986,0.6761205196380615
sensitivity,English,low_band_ratio,1000,1000,0.42954835833335075,0.5550955433578353,-0.6033740624056184,-0.7080684304237366,-0.5184370279312134
sensitivity,English,mid_band_ratio,1000,1000,0.514442956159133,0.41667636943467357,0.49554877185944657,0.4053560197353363,0.5828824043273926
sensitivity,English,high_band_ratio,1000,1000,0.055957935146307404,0.028169065860249226,0.5055696681032376,0.41431474685668945,0.5917167663574219
sensitivity,English,pitch_mean,1000,1000,194.04684700610488,137.04834654204203,1.0686899224923474,0.9943241477012634,1.157564401626587
sensitivity,English,pitch_std,1000,1000,78.45446034028117,63.744978693373795,0.8008932634192821,0.7215182185173035,0.8704273700714111
sensitivity,English,energy_env_slope,1000,1000,-0.5652905023168335,-0.06431270912314818,-0.30851962429789326,-0.3886931240558624,-0.23219545185565948
sensitivity,English,energy_env_std,1000,1000,1.846876065242337,0.11149875047476962,0.7710144277582368,0.7181534767150879,0.8236774802207947
sensitivity,English,spectral_rolloff,1000,1000,1056.7596574936074,713.8376529077456,0.6955166603227269,0.6107255816459656,0.7779492139816284
sensitivity,English,zcr,1000,1000,0.10242598887060919,0.07680851515304857,0.6794361971480282,0.6084390878677368,0.746605396270752
sensitivity,English,harmonic_ratio,1000,1000,0.37681945692179664,0.3991225381686978,-0.11487042469910975,-0.20966491103172302,-0.03840923309326172
sensitivity,English,pause_ratio,1000,1000,0.16653355719787577,0.07171335748423617,0.7273774598468615,0.6441977620124817,0.8289424777030945
sensitivity,English,tempo_proxy,1000,1000,4.551986845996482,4.55367080710854,-0.0017146677519198842,-0.09126748889684677,0.09605175256729126
sensitivity,English,pitch_energy_corr,1000,1000,0.2535980896582601,0.21980883650181687,0.19007141656574533,0.09544526040554047,0.2759830355644226
main,French,alpha_ratio,432,143,0.3569691847029754,0.09451736655165105,0.623329168012265,0.5439936518669128,0.7216904163360596
main,French,spectral_centroid,432,143,1123.987928168584,817.918570290952,0.5607786539608137,0.37771573662757874,0.7553523182868958
main,French,spectral_bandwidth,432,143,769.8605621091139,592.7262227336357,0.7658481109957787,0.5920020937919617,0.9447141289710999
main,French,low_band_ratio,432,143,0.5127584141597724,0.7320184583071714,-0.855356729772715,-1.0238165855407715,-0.6781420111656189
main,French,mid_band_ratio,432,143,0.41824407689286214,0.2340867633174941,0.803768263135988,0.652161717414856,0.967485785484314
